state,ecvotes,rep,dem,greenback,other
Alabama,10,56350,91130,4422,0
Arkansas,6,41661,60489,4079,1543
California,6,80282,80426,3381,129
Colorado,3,27450,24647,1435,14
Connecticut,6,67071,64411,868,448
Delaware,3,14148,15181,129,0
Florida,4,23654,27964,0,0
Georgia,11,54470,102981,0,0
Illinois,21,318036,277321,26358,590
Indiana,15,232164,225522,12986,0
Iowa,11,183904,105845,32327,592
Kansas,5,121549,59801,19851,35
Kentucky,12,106490,148875,11506,233
Louisiana,8,38978,65047,437,0
Maine,7,74052,65211,4409,231
Maryland,8,78515,93706,0,0
Massachusetts,13,165198,111720,4548,799
Michigan,11,185335,131597,34895,1252
Minnesota,5,93902,53315,3267,286
Mississippi,8,34844,75750,5797,677
Missouri,15,153647,208600,35042,0
Nebraska,3,54979,28523,3950,0
Nevada,3,8732,9613,0,0
New Hampshire,5,44856,40797,528,180
New Jersey,9,120555,122565,2617,191
New York,35,555544,534511,12373,1517
North Carolina,10,115616,124204,1126,0
Ohio,22,375048,340821,6456,2642
Oregon,3,20619,19955,249,0
Pennsylvania,29,444704,407428,20668,1983
Rhode Island,4,18195,10779,236,25
South Carolina,7,57954,111236,567,36
Tennessee,12,107677,129569,6017,0
Texas,8,57893,156428,27405,0
Vermont,5,45091,18182,1212,109
Virginia,11,83533,128083,0,0
West Virginia,5,46243,57390,9008,0
Wisconsin,10,144398,114644,7986,159
