state,ecvotes,rep,dem,other
Alabama,11,195694,280844,20333
Arizona,4,176990,112880,303
Arkansas,8,186287,213277,7008
California,32,3027668,2420135,18552
Colorado,6,394479,263997,4598
Connecticut,8,711837,405079,205
Delaware,3,98057,79421,510
Florida,10,643849,480371,0
Georgia,12,216652,441094,5734
Idaho,4,166979,105868,142
Illinois,27,2623327,1775682,8398
Indiana,13,1182811,783908,7888
Iowa,10,729187,501858,3519
Kansas,8,566878,296317,3048
Kentucky,10,572192,476453,5160
Louisiana,10,329047,243977,44520
Maine,5,249238,102468,0
Maryland,9,559738,372613,0
Massachusetts,16,1393197,948190,7119
Michigan,20,1713647,1359898,6923
Minnesota,11,719302,617525,3178
Mississippi,8,60685,144498,42966
Missouri,13,914289,918273,0
Montana,4,154933,116238,0
Nebraska,6,378108,199029,0
Nevada,3,56049,40640,0
New Hampshire,4,176519,90364,111
New Jersey,16,1606942,850337,27033
New Mexico,4,146788,106098,1040
New York,45,4340340,2750769,2227
North Carolina,14,575062,590530,0
North Dakota,4,156766,96742,483
Ohio,25,2262610,1439655,0
Oklahoma,8,473769,385581,0
Oregon,6,406393,329204,0
Pennsylvania,32,2585252,1981769,9482
Rhode Island,4,225819,161790,2
South Carolina,8,75700,136372,88511
South Dakota,4,171569,122288,0
Tennessee,11,462288,456507,20609
Texas,24,1080619,859958,14968
Utah,4,215631,118364,0
Vermont,3,110390,42549,39
Virginia,12,386459,267760,43759
Washington,9,620430,523002,7457
West Virginia,8,449297,381534,0
Wisconsin,12,954844,586768,8946
Wyoming,3,74573,49554,0
