state,ecvotes,rep,dem,other
Alabama,12,120725,127796,460
Arizona,3,52533,38537,184
Arkansas,9,77751,119196,746
California,13,1162323,614365,19968
Colorado,6,253872,133131,5239
Connecticut,7,296641,252085,4398
Delaware,3,68860,36643,388
Florida,6,144168,101764,7742
Georgia,14,99368,129602,188
Idaho,4,97322,52926,1293
Illinois,29,1769141,1313817,24531
Indiana,15,848290,562691,10333
Iowa,13,623570,379311,6608
Kansas,10,513672,193003,6525
Kentucky,13,558734,381070,1470
Louisiana,10,51160,164655,18
Maine,6,179923,81179,1069
Maryland,8,301479,223626,3243
Massachusetts,18,775566,792758,9499
Michigan,15,965396,396762,9924
Minnesota,12,560977,396451,13548
Mississippi,10,27153,124539,0
Missouri,18,834080,662562,4079
Montana,4,113300,78578,2230
Nebraska,8,345745,197959,3440
Nevada,3,18327,14090,0
New Hampshire,4,115404,80715,638
New Jersey,14,926050,616517,6814
New Mexico,3,69645,48211,158
New York,45,2193344,2089863,122419
North Carolina,12,348923,286227,0
North Dakota,5,131441,106648,1778
Ohio,24,1627546,864210,16590
Oklahoma,10,394046,219174,5207
Oregon,5,205341,109223,5378
Pennsylvania,38,2055382,1067586,27642
Rhode Island,5,117522,118973,699
South Carolina,9,5858,62700,47
South Dakota,5,157603,102660,1602
Tennessee,12,195388,167343,742
Texas,20,367036,341032,931
Utah,4,94618,80985,1000
Vermont,4,90404,44440,347
Virginia,12,164609,140146,603
Washington,7,335844,156772,8224
West Virginia,8,375551,263784,3417
Wisconsin,13,544205,450259,22367
Wyoming,3,52748,29299,788
