state,ecvotes,rep,dem,socialist,other
Alabama,12,96589,160560,2402,756
Arizona,3,37016,29546,0,0
Arkansas,9,71117,107409,5111,0
California,13,624992,229191,64076,25791
Colorado,6,173248,104936,8046,5823
Connecticut,7,229238,120721,10350,5209
Delaware,3,52858,39911,988,1118
Florida,6,44853,90515,5189,5124
Georgia,14,41089,107162,465,0
Idaho,4,88975,46579,38,32
Illinois,29,1420480,534395,74747,65092
Indiana,15,696370,511364,24703,30527
Iowa,13,634674,227921,16981,15506
Kansas,10,369268,185464,15511,75
Kentucky,13,452480,456497,6409,3250
Louisiana,10,38538,87519,0,339
Maine,6,136355,58961,2214,310
Maryland,8,236117,180626,8876,2824
Massachusetts,18,681153,276691,32267,3607
Michigan,15,762865,233450,28947,23149
Minnesota,12,519421,142994,56106,17317
Mississippi,10,11576,69277,1639,0
Missouri,18,727162,574799,20242,10597
Montana,4,109430,57372,0,12204
Nebraska,8,247498,119608,9600,6037
Nevada,3,15479,9851,1864,0
New Hampshire,4,95196,62662,1234,0
New Jersey,14,611541,256887,27141,8374
New Mexico,3,57634,46668,0,1104
New York,45,1871167,781238,203201,42907
North Carolina,12,232848,305447,446,17
North Dakota,5,160072,37422,8282,0
Ohio,24,1182022,780037,57147,2447
Oklahoma,10,243831,217053,25726,0
Oregon,5,143592,80019,9801,5110
Pennsylvania,38,1218216,503843,70571,59986
Rhode Island,5,107463,55062,4351,1105
South Carolina,9,2610,64170,28,0
South Dakota,5,110692,35938,0,35607
Tennessee,12,219829,206558,2239,0
Texas,20,114538,288767,8121,75215
Utah,4,81555,56639,3159,4475
Vermont,4,68212,20919,0,830
Virginia,12,87456,141670,807,1066
Washington,7,223137,84298,8913,82367
West Virginia,8,282007,220789,5618,1528
Wisconsin,13,498576,113422,80635,8647
Wyoming,3,35091,17429,0,2180
