state,ecvotes,dem,rep,other
Alabama,10,0,479085,210732
Alaska,3,44329,22930,0
Arizona,5,237753,242535,482
Arkansas,6,314197,243264,2965
California,40,4171877,2879108,6601
Colorado,6,476024,296767,4195
Connecticut,8,826269,390996,1313
Delaware,3,122704,78078,538
D. C.,3,169796,28801,0
Florida,14,948540,905941,0
Georgia,12,522557,616584,195
Hawaii,4,163249,44022,0
Idaho,4,148920,143557,0
Illinois,26,2796833,1905946,62
Indiana,13,1170848,911118,9640
Iowa,9,733030,449148,2361
Kansas,7,464028,386579,7294
Kentucky,9,669659,372977,3469
Louisiana,10,387068,509225,0
Maine,4,262264,118701,256
Maryland,10,730912,385495,50
Massachusetts,14,1786422,549727,8649
Michigan,21,2136615,1060152,6335
Minnesota,10,991117,559624,3721
Mississippi,7,52618,356528,0
Missouri,12,1164344,653535,0
Montana,4,164246,113032,1350
Nebraska,5,307307,276847,0
Nevada,3,79339,56094,0
New Hampshire,4,184064,104029,0
New Jersey,17,1867671,963843,15256
New Mexico,4,194017,131838,1760
New York,43,4913156,2243559,9300
North Carolina,13,800139,624844,0
North Dakota,4,149784,108207,398
Ohio,26,2498331,1470865,0
Oklahoma,8,519834,412665,0
Oregon,6,501017,282779,2509
Pennsylvania,29,3130954,1673657,18079
Rhode Island,4,315463,74615,13
South Carolina,8,215700,309048,8
South Dakota,4,163010,130108,0
Tennessee,11,634947,508965,34
Texas,25,1663185,958566,5060
Utah,4,219628,180682,0
Vermont,3,108127,54942,20
Virginia,12,558038,481334,2895
Washington,9,779881,470366,8309
West Virginia,7,538087,253953,0
Wisconsin,12,1050424,638495,2896
Wyoming,3,80718,61998,0
