state,ecvotes,dem,rep,prohibition,other
Alabama,10,117314,57177,594,0
Arkansas,7,86062,59752,614,10630
California,8,117729,124816,5761,3033
Colorado,3,37549,50772,2182,1443
Connecticut,6,74920,74584,4234,240
Delaware,3,16414,12950,399,1
Florida,4,39557,26529,414,0
Georgia,12,100493,40499,1808,136
Illinois,22,348351,370475,21703,7284
Indiana,15,261013,263361,9881,2694
Iowa,13,179877,211603,3550,9105
Kansas,9,102745,182904,6779,38721
Kentucky,13,183830,155138,5223,677
Louisiana,8,85032,30660,160,39
Maine,6,50472,73730,2691,1360
Maryland,8,106188,99986,4767,0
Massachusetts,14,151590,183892,8701,60
Michigan,13,213469,236387,20945,4555
Minnesota,7,104385,142492,15311,1097
Mississippi,9,85451,30095,240,0
Missouri,16,261943,236252,4539,18626
Nebraska,5,80552,108425,9429,4226
Nevada,3,5149,7088,41,0
New Hampshire,4,43456,45728,1593,58
New Jersey,9,151508,144360,7933,0
New York,36,635965,650338,30231,3214
North Carolina,11,147902,134784,2840,37
Ohio,23,396455,416054,24356,3496
Oregon,3,26522,33291,1677,363
Pennsylvania,30,446633,526091,20947,3897
Rhode Island,4,17530,21969,1251,25
South Carolina,9,65824,13736,0,437
Tennessee,12,158699,138978,5969,48
Texas,13,234883,88422,4749,29459
Vermont,4,16788,45192,1460,2012
Virginia,12,152004,150399,1684,0
West Virginia,6,78677,78171,1084,1508
Wisconsin,11,155232,176553,14277,8552
