state,ecvotes,rep,dem,amerind,other
Alabama,10,146923,196579,691425,14990
Alaska,3,37600,35411,10024,0
Arizona,5,266721,170514,46573,3128
Arkansas,6,189062,184901,235627,0
California,40,3467664,3244318,487270,52335
Colorado,6,409345,335174,60813,5867
Connecticut,8,556721,621561,76650,1300
Delaware,3,96714,89194,28459,0
D. C.,3,31012,139566,0,0
Florida,14,886804,676794,624207,0
Georgia,12,380111,334440,535550,165
Hawaii,4,91425,141324,3469,0
Idaho,4,165369,89273,36541,0
Illinois,26,2174774,2039814,390958,14203
Indiana,13,1067885,806659,243108,5945
Iowa,9,619106,476699,66422,5704
Kansas,7,478674,302996,88921,2192
Kentucky,9,462411,397541,193098,2843
Louisiana,10,257535,309615,530300,0
Maine,4,169254,217312,6370,0
Maryland,10,517995,538310,178734,0
Massachusetts,14,766844,1469218,87088,8602
Michigan,21,1370665,1593082,331968,10535
Minnesota,10,658643,857738,68931,3198
Mississippi,7,88516,150644,415349,0
Missouri,12,811932,791444,206126,0
Montana,4,138835,114117,20015,1437
Nebraska,5,321163,170784,44904,0
Nevada,3,73188,60598,20432,0
New Hampshire,4,154903,130589,11173,634
New Jersey,17,1325467,1264206,262187,23535
New Mexico,4,169692,130081,25737,1771
New York,43,3007932,3378470,358864,44800
North Carolina,13,627192,464113,496188,0
North Dakota,4,138669,94769,14244,200
Ohio,26,1791014,1700586,467495,603
Oklahoma,8,449697,301658,191731,0
Oregon,6,408433,358866,49683,2640
Pennsylvania,29,2090017,2259405,378582,19924
Rhode Island,4,122359,246518,15678,445
South Carolina,8,254062,197486,215430,4
South Dakota,4,149841,118023,13400,0
Tennessee,11,472592,351233,424792,0
Texas,25,1227844,1266804,584269,489
Utah,4,238728,156665,26906,269
Vermont,3,85142,70255,5104,903
Virginia,12,590319,442387,321833,6952
Washington,9,588510,616037,96990,2744
West Virginia,7,307555,374091,72560,0
Wisconsin,12,809997,748804,127835,4902
Wyoming,3,70927,45173,11105,0
