state,ecvotes,dem,rep,dixiecrat,progressive,other
Alabama,11,0,40930,171443,1522,1085
Arizona,4,95251,77597,0,3310,907
Arkansas,9,149659,50959,40068,751,1038
California,25,1913134,1895269,1228,190381,21526
Colorado,6,267288,239714,0,6115,2120
Connecticut,8,423297,437754,0,13713,8754
Delaware,3,67813,69588,0,1050,622
Florida,8,281988,194280,89755,11620,0
Georgia,12,254646,76691,85055,1636,736
Idaho,4,107370,101514,0,4972,960
Illinois,28,1994715,1961103,0,0,28228
Indiana,13,807833,821079,0,9649,17653
Iowa,10,522380,494018,0,12125,9749
Kansas,8,351902,423039,0,4603,9275
Kentucky,11,466756,341210,10411,1567,2714
Louisiana,10,136344,72657,204290,3035,10
Maine,5,111916,150234,0,1884,755
Maryland,8,286521,294814,2476,9983,2941
Massachusetts,16,1151788,909370,0,38157,7831
Michigan,19,1003448,1038595,0,46515,21051
Minnesota,11,692966,483617,0,27866,7777
Mississippi,9,19384,5043,167538,225,0
Missouri,15,917315,655039,42,3998,2234
Montana,4,119071,96770,0,7313,1124
Nebraska,6,224165,264774,0,0,1
Nevada,3,31291,29357,0,1469,0
New Hampshire,4,107995,121299,7,1970,169
New Jersey,16,895455,981124,0,42683,30293
New Mexico,4,105464,80303,0,1037,259
New York,47,2780204,2841163,16,509559,47560
North Carolina,14,459070,258572,69652,3915,0
North Dakota,4,95812,115139,374,8391,1000
Ohio,25,1452791,1445684,0,37596,0
Oklahoma,10,452782,268817,0,0,0
Oregon,6,243147,260904,0,14978,5051
Pennsylvania,35,1752426,1902197,0,55161,25364
Rhode Island,4,188736,135787,0,2619,560
South Carolina,8,34423,5386,102607,154,1
South Dakota,4,117653,129651,0,2801,0
Tennessee,12,270402,202914,73815,1864,1288
Texas,23,824235,303467,113776,3920,4179
Utah,4,149151,124402,0,2679,73
Vermont,3,45557,75926,0,1279,620
Virginia,11,200786,172070,43393,2047,960
Washington,8,476165,386315,0,31692,10887
West Virginia,8,429188,316251,0,3311,0
Wisconsin,12,647310,590959,0,25282,13249
Wyoming,3,52354,47947,0,931,193
