state,ecvotes,dem,rep,other
Alabama,11,318303,237981,8189
Alaska,3,29809,30953,0
Arizona,4,176781,221241,469
Arkansas,8,215049,184508,28952
California,32,3224099,3259722,22757
Colorado,6,330629,402242,3375
Connecticut,8,657055,565813,15
Delaware,3,99590,96373,720
Florida,10,748700,795476,0
Georgia,12,458638,274472,239
Hawaii,3,92410,92295,0
Idaho,4,138853,161597,0
Illinois,27,2377846,2368988,10575
Indiana,13,952358,1175120,7882
Iowa,10,550565,722381,864
Kansas,8,363213,561474,4138
Kentucky,10,521855,602607,0
Louisiana,10,407339,230980,169572
Maine,5,181159,240608,6
Maryland,9,565808,489538,3
Massachusetts,16,1487174,976750,5556
Michigan,20,1687269,1620428,10400
Minnesota,11,779933,757915,4039
Mississippi,8,108362,73561,116248
Missouri,13,972201,962221,0
Montana,4,134891,141841,847
Nebraska,6,232542,380553,0
Nevada,3,54880,52387,0
New Hampshire,4,137772,157989,0
New Jersey,16,1385415,1363324,24372
New Mexico,4,156027,153733,1347
New York,45,3830085,3446419,14575
North Carolina,14,713136,655420,0
North Dakota,4,123963,154310,158
Ohio,25,1944248,2217611,0
Oklahoma,8,370111,533039,0
Oregon,6,367402,408060,959
Pennsylvania,32,2556282,2439956,10303
Rhode Island,4,258032,147502,1
South Carolina,8,198129,188558,1
South Dakota,4,128070,178417,0
Tennessee,11,481453,556577,13762
Texas,24,1167567,1121310,22207
Utah,4,169248,205361,100
Vermont,3,69186,98131,7
Virginia,12,362327,404521,4601
Washington,9,599298,629273,13001
West Virginia,8,441786,395995,0
Wisconsin,12,830805,895175,3102
Wyoming,3,63331,77451,0
